Frequency(Hz),Magnitude(Ohm),Phase(rad)
95000,592.403,1.486
95100,593.036,1.486
95200,593.669,1.486
95300,594.302,1.487
95400,594.935,1.487
95500,595.567,1.487
95600,596.2,1.487
95700,596.833,1.487
95800,597.466,1.487
95900,598.099,1.487
96000,598.732,1.487
96100,599.365,1.487
96200,599.998,1.487
96300,600.631,1.487
96400,601.264,1.488
96500,601.897,1.488
96600,602.53,1.488
96700,603.162,1.488
96800,603.795,1.488
96900,604.428,1.488
97000,605.061,1.488
97100,605.694,1.488
97200,606.327,1.488
97300,606.959,1.488
97400,607.592,1.488
97500,608.225,1.488
97600,608.858,1.489
97700,609.49,1.489
97800,610.123,1.489
97900,610.756,1.489
98000,611.389,1.489
98100,612.021,1.489
98200,612.654,1.489
98300,613.287,1.489
98400,613.92,1.489
98500,614.552,1.489
98600,615.185,1.489
98700,615.818,1.49
98800,616.45,1.49
98900,617.083,1.49
99000,617.716,1.49
99100,618.348,1.49
99200,618.981,1.49
99300,619.614,1.49
99400,620.246,1.49
99500,620.879,1.49
99600,621.511,1.49
99700,622.144,1.49
99800,622.777,1.49
99900,623.409,1.491
100000,624.042,1.491
